Configuración;Modelo Base;Modelo LLM;Peso LLM;Threshold;Precision (%);Recall (%);F1-Score (%)
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,60;0,40;67,14;85,54;75,23
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,40;0,30;85,97;66,48;74,98
Solo LLM (gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;1,00;0,60;71,66;78,44;74,90
Solo LLM (gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;1,00;0,70;79,84;70,51;74,89
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,70;0,40;71,43;78,58;74,83
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,50;0,30;71,28;78,72;74,82
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,50;0,50;79,43;70,38;74,63
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,70;0,40;65,99;85,54;74,50
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,70;0,30;65,24;86,65;74,43
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,40;0,30;83,16;67,32;74,40
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,70;0,30;62,91;90,82;74,33
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,70;0,50;85,92;65,37;74,25
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,30;0,40;69,65;79,14;74,09
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,60;0,30;62,38;91,10;74,05
