host,asset_id,metric,start_elapsed_sec,end_elapsed_sec,duration_sec_est,min_value,mean_value,start_timestamp,end_timestamp
host1,/node[name=host1]/bm/net,health_score,89.61,250.2,170.62999999999997,91.0,93.88235294117646,2026-06-11 08:19:50.615000010,2026-06-11 08:22:31.206000090
host1,/node[name=host1]/bm/net,level_of_trust,89.61,290.39,210.81999999999996,91.0,95.07619047619049,2026-06-11 08:19:50.615000010,2026-06-11 08:23:11.391000032
host1,/node[name=host1]/bm/net/if[name=enp0s9],health_score,89.61,250.2,170.62999999999997,40.0,60.588235294117645,2026-06-11 08:19:50.615000010,2026-06-11 08:22:31.206000090
host1,/node[name=host1]/bm/net/if[name=enp0s9],level_of_trust,89.61,290.39,210.81999999999996,40.0,68.23809523809524,2026-06-11 08:19:50.615000010,2026-06-11 08:23:11.391000032
host1,/node[name=host1],health_score,119.74,210.06,100.36999999999999,99.0,99.0,2026-06-11 08:20:20.744999886,2026-06-11 08:21:51.063999891
host1,/node[name=host1],level_of_trust,119.74,270.33,160.62999999999997,99.0,99.375,2026-06-11 08:20:20.744999886,2026-06-11 08:22:51.335999966
host1,/node[name=host1]/bm,health_score,119.74,210.06,100.36999999999999,99.0,99.0,2026-06-11 08:20:20.744999886,2026-06-11 08:21:51.063999891
host1,/node[name=host1]/bm,level_of_trust,119.74,270.33,160.62999999999997,99.0,99.375,2026-06-11 08:20:20.744999886,2026-06-11 08:22:51.335999966
